292, -136, 18828, -84, 247
252, -184, 18784, -83, 248
244, -168, 18700, -87, 249
260, -212, 18832, -92, 247
260, -212, 18832, -92, 247
248, -188, 18840, -88, 244
292, -196, 18764, -81, 254
300, -64, 18792, -79, 252
344, -96, 18780, -82, 248
236, -176, 18848, -88, 247
320, -164, 18684, -88, 242
244, -228, 18772, -85, 245
216, -124, 18784, -87, 254
216, -124, 18784, -87, 254
284, -176, 18792, -90, 253
256, -196, 18844, -88, 251
276, -208, 18776, -90, 249
260, -152, 18804, -89, 250
264, -212, 18752, -85, 245
308, -176, 18864, -92, 245
272, -184, 18724, -91, 246
320, -160, 18772, -90, 245
320, -160, 18772, -90, 245
248, -160, 18780, -87, 256
304, -196, 18824, -85, 251
316, -124, 18852, -83, 250
184, -136, 18792, -84, 248
264, -232, 18708, -84, 253
264, -196, 18804, -87, 246
224, -176, 18796, -81, 243
256, -204, 18804, -83, 248
256, -204, 18804, -83, 248
272, -240, 18828, -93, 249
240, -156, 18872, -95, 254
260, -228, 18804, -93, 256
280, -176, 18792, -84, 247
216, -232, 18812, -84, 250
184, -208, 18780, -86, 245
272, -140, 18744, -82, 254
268, -192, 18760, -85, 256
268, -192, 18760, -85, 256
304, -236, 18740, -86, 249
288, -236, 18840, -88, 256
252, -224, 18808, -93, 249
240, -176, 18732, -92, 249
200, -144, 18688, -91, 252
228, -160, 18816, -86, 261
284, -176, 18796, -84, 255
232, -224, 18692, -85, 250
296, -204, 18660, -91, 251
296, -204, 18660, -91, 251
280, -208, 18796, -89, 251
340, -148, 18680, -86, 255
272, -220, 18700, -85, 253
316, -184, 18732, -91, 251
316, -164, 18776, -86, 251
260, -144, 18752, -84, 248
292, -128, 18688, -83, 252
248, -252, 18816, -81, 250
248, -252, 18816, -81, 250
240, -184, 18768, -84, 247
240, -132, 18744, -88, 253
236, -228, 18792, -89, 251
224, -268, 18784, -85, 245
256, -196, 18712, -89, 246
280, -180, 18840, -84, 244
216, -156, 18832, -90, 258
240, -188, 18800, -88, 252
240, -188, 18800, -88, 252
236, -196, 18688, -90, 248
212, -156, 18720, -91, 251
240, -156, 18780, -86, 248
324, -204, 18696, -84, 246
240, -144, 18736, -85, 257
268, -184, 18748, -86, 254
352, -112, 18824, -88, 255
340, -184, 18752, -83, 253
256, -204, 18848, -86, 244
256, -204, 18848, -86, 244
244, -212, 18808, -83, 250
276, -224, 18708, -85, 248
280, -220, 18756, -90, 249
256, -220, 18816, -87, 253
264, -204, 18884, -86, 250
272, -208, 18796, -90, 250
292, -184, 18768, -87, 247
204, -224, 18712, -87, 250
204, -224, 18712, -87, 250
304, -172, 18708, -83, 247
276, -180, 18736, -85, 245
260, -196, 18800, -85, 248
284, -152, 18828, -90, 253
240, -148, 18744, -89, 249
200, -144, 18824, -91, 256
304, -204, 18748, -87, 251
268, -208, 18760, -90, 249
268, -208, 18760, -90, 249
308, -216, 18768, -89, 254
240, -188, 18848, -90, 251
236, -128, 18764, -85, 248
264, -200, 18788, -85, 244
